marcha,muestra,tiempo_s,pata,articulacion,velocidad_rad_s
gateo,13,2.340000,2,tibia,-0.072382628
gateo,13,2.340000,3,coxa,0.038665443
gateo,13,2.340000,3,femur,-0.122501028
gateo,13,2.340000,3,tibia,0.129094558
gateo,14,2.520000,0,coxa,0.000000000
gateo,14,2.520000,0,femur,0.031527545
gateo,14,2.520000,0,tibia,-0.010236976
gateo,14,2.520000,1,coxa,0.013717267
gateo,14,2.520000,1,femur,0.068234431
gateo,14,2.520000,1,tibia,-0.342114483
gateo,14,2.520000,2,coxa,0.000000000
gateo,14,2.520000,2,femur,0.029817121
gateo,14,2.520000,2,tibia,-0.007033607
gateo,14,2.520000,3,coxa,0.000000000
gateo,14,2.520000,3,femur,0.033417545
gateo,14,2.520000,3,tibia,-0.014717213
gateo,15,2.700000,0,coxa,0.039381246
gateo,15,2.700000,0,femur,0.077071922
gateo,15,2.700000,0,tibia,0.050534267
gateo,15,2.700000,1,coxa,-0.054087160
gateo,15,2.700000,1,femur,-0.207587733
gateo,15,2.700000,1,tibia,0.307917617
gateo,15,2.700000,2,coxa,0.039381246
gateo,15,2.700000,2,femur,0.069839856
gateo,15,2.700000,2,tibia,0.062920486
gateo,15,2.700000,3,coxa,-0.038665443
gateo,15,2.700000,3,femur,0.186312330
gateo,15,2.700000,3,tibia,-0.152259457
gateo,16,2.880000,0,coxa,0.063368377
gateo,16,2.880000,0,femur,0.093628659
gateo,16,2.880000,0,tibia,0.106835518
gateo,16,2.880000,1,coxa,-0.092289103
gateo,16,2.880000,1,femur,-0.465199937
gateo,16,2.880000,1,tibia,0.870976848
gateo,16,2.880000,2,coxa,0.063368377
gateo,16,2.880000,2,femur,0.082581447
gateo,16,2.880000,2,tibia,0.125277007
gateo,16,2.880000,3,coxa,-0.062925861
gateo,16,2.880000,3,femur,0.268568041
gateo,16,2.880000,3,tibia,-0.211747582
gateo,17,3.060000,0,coxa,0.000000000
gateo,17,3.060000,0,femur,0.028229999
gateo,17,3.060000,0,tibia,-0.004570980
gateo,17,3.060000,1,coxa,0.000000000
gateo,17,3.060000,1,femur,0.000000000
gateo,17,3.060000,1,tibia,0.000000000
gateo,17,3.060000,2,coxa,0.000000000
gateo,17,3.060000,2,femur,0.026432804
gateo,17,3.060000,2,tibia,-0.001344200
gateo,17,3.060000,3,coxa,0.000000000
gateo,17,3.060000,3,femur,0.030011227
gateo,17,3.060000,3,tibia,-0.007840965
gateo,18,3.240000,0,coxa,0.062925861
gateo,18,3.240000,0,femur,0.076399435
gateo,18,3.240000,0,tibia,0.134579864
gateo,18,3.240000,1,coxa,-0.063368377
gateo,18,3.240000,1,femur,0.263212313
gateo,18,3.240000,1,tibia,-0.200011753
gateo,18,3.240000,2,coxa,0.062925861
gateo,18,3.240000,2,femur,0.040221269
gateo,18,3.240000,2,tibia,0.151892073
gateo,18,3.240000,3,coxa,-0.063368377
gateo,18,3.240000,3,femur,0.253092179
gateo,18,3.240000,3,tibia,-0.179594450
gateo,19,3.420000,0,coxa,0.038665443
gateo,19,3.420000,0,femur,0.048489451
gateo,19,3.420000,0,tibia,0.096654965
gateo,19,3.420000,1,coxa,-0.039381246
gateo,19,3.420000,1,femur,0.167131001
gateo,19,3.420000,1,tibia,-0.111842609
gateo,19,3.420000,2,coxa,0.069733134
gateo,19,3.420000,2,femur,0.496008412
gateo,19,3.420000,2,tibia,-0.931831702
gateo,19,3.420000,3,coxa,-0.039381246
gateo,19,3.420000,3,femur,0.160455867
gateo,19,3.420000,3,tibia,-0.098685088
gateo,20,3.600000,0,coxa,0.000000000
gateo,20,3.600000,0,femur,0.024636163
gateo,20,3.600000,0,tibia,0.001390220
gateo,20,3.600000,1,coxa,0.000000000
gateo,20,3.600000,1,femur,0.028673724
gateo,20,3.600000,1,tibia,-0.004933478
gateo,20,3.600000,2,coxa,0.013717267
gateo,20,3.600000,2,femur,0.093545454
