x_m,y_m,z_m,sigma_min_m_rad,condition_number
1.191674510188115849e-01,5.983909981256449462e-02,-1.941096922291973836e-01,3.750027052570778507e-02,7.059803516925650335e+00
1.145172555089433997e-01,5.888361669486536637e-02,-2.000304154324238082e-01,3.508547869241471218e-02,7.601846929979026335e+00
1.095300890218848661e-01,5.797228870135125167e-02,-2.056775280783720294e-01,3.262296469168731589e-02,8.229880633186224870e+00
1.042224358343213364e-01,5.710812808012639269e-02,-2.110323645444744933e-01,3.011666646291961957e-02,8.966619876874755590e+00
9.861183954017933850e-02,5.629399117513232687e-02,-2.160772252800664261e-01,2.757042183615417488e-02,9.843658765433064062e+00
9.271684506309885165e-02,5.553256898496243543e-02,-2.207954353094035704e-01,2.498799135315107542e-02,1.090626469492331907e+01
8.655693735917073528e-02,5.482637826819890259e-02,-2.251713993481125609e-01,2.237307510792971646e-02,1.222165885196364776e+01
8.015247701254853141e-02,5.417775322467201921e-02,-2.291906533508951127e-01,1.972932555127151349e-02,1.389414459473109886e+01
7.352463293681223144e-02,5.358883778013805860e-02,-2.328399123201033705e-01,1.706035752383112600e-02,1.609474227334061425e+01
6.669531240452930554e-02,5.306157849987756109e-02,-2.361071142171627391e-01,1.436975635861721841e-02,1.912463697208540481e+01
5.968708863628879174e-02,5.259771815463684663e-02,-2.389814598317004379e-01,1.166108462464927019e-02,2.356799800358320240e+01
5.252312618855133758e-02,5.219878996017964651e-02,-2.414534484765983868e-01,8.937887910376689227e-03,3.072603982067418116e+01
4.522710438693351709e-02,5.186611250948897772e-02,-2.435149093909865226e-01,6.203699932519160867e-03,4.420312887023810333e+01
3.782313905800580023e-02,5.160078541437013167e-02,-2.451590287473784102e-01,3.462047181734305770e-03,7.904085550515900138e+01
3.033570281830644255e-02,5.140368567086072565e-02,-2.463803721736822494e-01,7.164532675370180719e-04,3.809372378564602286e+02
2.278954418404382370e-02,5.127546476046132562e-02,-2.471749027156437406e-01,2.029556907226759063e-03,1.340782771110949056e+02
1.520960576885647085e-02,5.121654649676815607e-02,-2.475399941803490267e-01,4.772453032639667296e-03,5.684783592936948082e+01
1.081675720669982854e-01,8.552560483250074008e-02,-3.494132654676224137e-02,1.705336662889581079e-02,1.047524057320914714e+01
1.128232073135376490e-01,8.457079432541875219e-02,-4.085788186756985491e-02,2.251879028802057647e-02,8.115868972615352561e+00
1.171267347396006825e-01,8.357493597344638203e-02,-4.702879325514950498e-02,2.833574068240800325e-02,6.596795914416109241e+00
1.210639297274614806e-01,8.254132142619183266e-02,-5.343366375444121713e-02,3.442974062019788645e-02,5.551031915393639160e+00
1.246217785123475835e-01,8.147336713029408595e-02,-6.005132309617137315e-02,4.070278482361153194e-02,4.798981221342886627e+00
1.277885211973462387e-01,8.037460303690809049e-02,-6.685989767177259735e-02,4.699969663503998640e-02,4.245666776242618567e+00
1.305536906238522477e-01,7.924866093401890244e-02,-7.383688283307890399e-02,5.302029562376624899e-02,3.842798163423723601e+00
1.329081469690771566e-01,7.809926244215070756e-02,-8.095921727782039168e-02,5.813244684892617670e-02,3.576697913894302694e+00
1.348441079562634481e-01,7.693020671314866610e-02,-8.820335927504893703e-02,6.139436653949114503e-02,3.454058221213615276e+00
1.363551745777486779e-01,7.574535787269366660e-02,-9.554536447854314329e-02,6.260012284852226050e-02,3.452808027107846733e+00
1.374363522458560138e-01,7.454863224805628741e-02,-1.029609650709936708e-01,6.251839937373418477e-02,3.521675038595211138e+00
1.380840673017005027e-01,7.334398542330698711e-02,-1.104256499773700745e-01,6.178141878720948277e-02,3.627592814499443374e+00
1.382961788273438519e-01,7.213539916476914560e-02,-1.179147458823370659e-01,6.068248407252397475e-02,3.756932145263969236e+00
1.380719857222541258e-01,7.092686825993088640e-02,-1.254034987839296178e-01,5.935119853075507268e-02,3.904640715210776936e+00
1.374122290206808705e-01,6.972238731331760475e-02,-1.328671558139253861e-01,5.785037965599551524e-02,4.069166862195721102e+00
1.363190894422856569e-01,6.852593754296917861e-02,-1.402810470544690047e-01,5.621412780720927427e-02,4.250590532111861997e+00
1.347961801841238705e-01,6.734147362116406355e-02,-1.476206670805178534e-01,5.446307223964141214e-02,4.449927344020985664e+00
1.328485349778030788e-01,6.617291060288617299e-02,-1.548617559585830084e-01,5.261098546246968655e-02,4.668874277920012972e+00
1.304825914512928176e-01,6.502411098524031596e-02,-1.619803794340374803e-01,5.066789626736857566e-02,4.909745557611293165e+00
1.277061698503807186e-01,6.389887194058926911e-02,-1.689530080419451297e-01,4.864166322871852494e-02,5.175509701531225915e+00
1.245284471901079854e-01,6.280091276561128311e-02,-1.757565948799225952e-01,4.653881976929264558e-02,5.469898752862371261e+00
1.209599269216220102e-01,6.173386258776307478e-02,-1.823686517859685052e-01,4.436505210492325962e-02,5.797587410507720307e+00
1.170124042147081683e-01,6.070124836978278010e-02,-1.887673236694654699e-01,4.212548195895619157e-02,6.164456368390826668e+00
1.126989269707531771e-01,5.970648325188188110e-02,-1.949314607496673846e-01,3.982484058784415554e-02,6.577970098924208031e+00
1.080337526950056332e-01,5.875285527015919329e-02,-2.008406884628977374e-01,3.746757985840127453e-02,7.047720576558778482e+00
